Country,Year2015,rank2015
Denmark,91,1
Finland,90,2
Sweden,89,3
New Zealand,88,4
Netherlands,87,5
Norway,87,5
Switzerland,86,7
Singapore,85,8
Canada,83,9
Germany,81,10
Luxembourg,81,10
United Kingdom,81,10
Australia,79,13
Iceland,79,13
Belgium,77,15
Austria,76,16
The United States Of America,76,16
Hong Kong,75,18
Ireland,75,18
Japan,75,18
Uruguay,74,21
Qatar,71,22
Chile,70,23
Estonia,70,23
France,70,23
United Arab Emirates,70,23
Bhutan,65,27
Botswana,63,28
Portugal,63,28
Poland,62,30
Taiwan,62,30
Cyprus,61,32
Israel,61,32
Lithuania,61,32
Slovenia,60,35
Spain,58,36
Czech Republic,56,37
Korea (South),56,37
Malta,56,37
Cape Verde,55,40
Costa Rica,55,40
Latvia,55,40
Seychelles,55,40
Rwanda,54,44
Jordan,53,45
Mauritius,53,45
Namibia,53,45
Georgia,52,48
Saudi Arabia,52,48
Bahrain,51,50
Croatia,51,50
Hungary,51,50
Slovakia,51,50
Malaysia,50,54
Kuwait,49,55
Cuba,47,56
Ghana,47,56
Greece,46,58
Romania,46,58
Oman,45,60
Italy,44,61
Lesotho,44,61
Montenegro,44,61
Senegal,44,61
South Africa,44,61
Sao Tome and Principe,42,66
The FYR of Macedonia,42,66
Turkey,42,66
Bulgaria,41,69
Jamaica,41,69
Serbia,40,71
El Salvador,39,72
Mongolia,39,72
Panama,39,72
Trinidad and Tobago,39,72
Bosnia and Herzegovina,38,76
Brazil,38,76
Burkina Faso,38,76
India,38,76
Thailand,38,76
Tunisia,38,76
Zambia,38,76
Benin,37,83
China,37,83
Colombia,37,83
Liberia,37,83
Sri Lanka,37,83
Albania,36,88
Algeria,36,88
Egypt,36,88
Indonesia,36,88
Morocco,36,88
Peru,36,88
Suriname,36,88
Armenia,35,95
Mali,35,95
Mexico,35,95
Philippines,35,95
Bolivia,34,99
Djibouti,34,99
Gabon,34,99
Niger,34,99
Dominican Republic,33,103
Ethiopia,33,103
Kosovo,33,103
Moldova,33,103
Argentina,32,107
Belarus,32,107
Côte d´Ivoire,32,107
Ecuador,32,107
Togo,32,107
Honduras,31,112
Malawi,31,112
Mauritania,31,112
Mozambique,31,112
Vietnam,31,112
Pakistan,30,117
Tanzania,30,117
Azerbaijan,29,119
Guyana,29,119
Russia,29,119
Sierra Leone,29,119
Gambia,28,123
Guatemala,28,123
Kazakhstan,28,123
Kyrgyzstan,28,123
Lebanon,28,123
Madagascar,28,123
Timor-Leste,28,123
Cameroon,27,130
Iran,27,130
Nepal,27,130
Nicaragua,27,130
Paraguay,27,130
Ukraine,27,130
Comoros,26,136
Nigeria,26,136
Tajikistan,26,136
Bangladesh,25,139
Guinea,25,139
Kenya,25,139
Laos,25,139
Papua New Guinea,25,139
Uganda,25,139
Central African Republic,24,145
Congo Republic,23,146
Chad,22,147
Democratic Republic of the Congo,22,147
Myanmar,22,147
Burundi,21,150
Cambodia,21,150
Zimbabwe,21,150
Uzbekistan,19,153
Eritrea,18,154
Syria,18,154
Turkmenistan,18,154
Yemen,18,154
Haiti,17,158
Guinea-Bissau,17,158
Venezuela,17,158
Iraq,16,161
Libya,16,161
Angola,15,163
South Sudan,15,163
Sudan,12,165
Afghanistan,11,166
Korea (North),8,167
Somalia,8,167
