Country,Year2015
Zimbabwe,2925
Zambia,643.7999878
Algeria,1295.5
Angola,615
Benin,14287.2998
Botswana,297.6000061
Burkina Faso,10217.09961
Cameroon,1582.900024
Cape Verde,961.5
Central African Republic,15326.09961
Chad,7660.5
Cote d'Ivoire,2583.899902
Djibouti,6579.399902
Afghanistan,3469.699951
Albania,491.3999939
American Samoa,..
Andorra,..
Antigua and Barbuda,118.8000031
Argentina,24.89999962
Armenia,87.30000305
Aruba,..
Australia,8.399999619
Austria,97.80000305
Azerbaijan,103.5999985
"Bahamas, The",148.8999939
Bahrain,46.40000153
Bangladesh,3140.5
Barbados,59.40000153
Belarus,296.2000122
Belgium,102.4000015
Belize,304.2000122
Bermuda,..
Bhutan,550
Bolivia,747.2000122
Bosnia and Herzegovina,418.2999878
Brazil,28.60000038
Brunei Darussalam,40.09999847
Bulgaria,317.2999878
Burundi,16315.40039
Cambodia,2336.100098
Canada,126.0999985
Cayman Islands,..
Channel Islands,..
Chile,76.80000305
China,413.2999878
Colombia,475.3999939
Comoros,2206.899902
"Congo, Dem. Rep.",15247.40039
"Congo, Rep.",4677.100098
Costa Rica,191.8000031
Croatia,317.1000061
Cuba,..
Cyprus,137
Czech Republic,27.60000038
Denmark,112.8000031
Dominica,461.1000061
Dominican Republic,257
East Asia & Pacific,818.7999878
Ecuador,601.0999756
"Egypt, Arab Rep.",272.8999939
El Salvador,536.0999756
Equatorial Guinea,616.7000122
Eritrea,2846.100098
Estonia,157.1999969
Ethiopia,1414.900024
Europe & Central Asia,440.2000122
European Monetary Union,..
Faeroe Islands,..
Fiji,1692.5
Finland,29.10000038
France,41.29999924
French Polynesia,..
Gabon,1158.900024
"Gambia, The",4129.799805
Georgia,461.7999878
Germany,42
"Germany, Fed. Rep. (former)",..
Ghana,1530.599976
Greece,70
Greenland,..
Grenada,196.3999939
Guam,..
Guatemala,499.2999878
Guinea,6766
Guinea-Bissau,1772.300049
Guyana,411.8999939
Haiti,3639.100098
Heavily indebted poor countries (HIPC),..
High income,..
High income: nonOECD,..
High income: OECD,65.09999847
Honduras,861.7000122
"Hong Kong, China",1.299999952
Hungary,98.40000153
IBRD only,..
Iceland,11.69999981
IDA blend,..
IDA only,..
IDA total,..
India,442.2999878
Indonesia,383
"Iran, Islamic Rep.",823.4000244
Iraq,239.6000061
Ireland,70.80000305
Isle of Man,..
Israel,11.60000038
Italy,209.3999939
Jamaica,242.8999939
Japan,0
Jordan,303
Kazakhstan,51.20000076
Kenya,732.2999878
Kiribati,5169.299805
"Korea, Dem. Rep.",..
"Korea, Rep.",39.79999924
Kosovo,788.5
Kuwait,52.20000076
Kyrgyz Republic,891.7999878
Lao PDR,1522.599976
Latin America & Caribbean,466
Latvia,296.6000061
Least developed countries: UN classification,..
Lebanon,93.90000153
Lesotho,1628.300049
Liberia,3897.100098
Libya,351.2999878
Liechtenstein,..
Lithuania,52.79999924
Low & middle income,..
Low income,..
Lower middle income,..
Luxembourg,40.40000153
"Macao, China",..
"Macedonia, FYR",229.8999939
Madagascar,6229.5
Malawi,4698.399902
Malaysia,30.70000076
Maldives,296.7999878
Mali,3498.899902
Malta,425
Marshall Islands,725.7999878
Mauritania,6384.399902
Mauritius,260
Mayotte,..
Mexico,332.8999939
"Micronesia, Fed. Sts.",369.7000122
Middle East & North Africa,931.2999878
Middle income,..
Moldova,778.2999878
Monaco,..
Mongolia,520.2999878
Montenegro,464.7999878
Morocco,1953.199951
Mozambique,2276.600098
Myanmar,1673.400024
Namibia,338.7000122
Nepal,1134.900024
Netherlands,30.39999962
Netherlands Antilles,..
New Caledonia,..
New Zealand,75.19999695
Nicaragua,958.5999756
Niger,6284.299805
Nigeria,437.7000122
Northern Mariana Islands,..
Norway,11.5
Oman,64.90000153
Pakistan,1225.5
Palau,73.90000153
Panama,9.399999619
Papua New Guinea,47.29999924
Paraguay,157.1000061
Peru,324.5
Philippines,28.70000076
Poland,19.5
Portugal,37
Puerto Rico,346.3999939
Qatar,8.800000191
Romania,573.7000122
Russian Federation,93.09999847
Rwanda,2932
Samoa,623.2999878
San Marino,59.70000076
Sao Tome and Principe,905.4000244
Saudi Arabia,26.20000076
Senegal,5689.299805
Serbia,428.6000061
Serbia and Montenegro,..
Seychelles,385
Sierra Leone,4066.5
Singapore,25.89999962
Slovak Republic,54.79999924
Slovenia,113.1999969
Solomon Islands,1383.099976
Somalia,..
South Africa,670.5
South Asia,1386.199951
South Sudan,4813.100098
Spain,225.1999969
Sri Lanka,829.5
St. Kitts and Nevis,264.2999878
St. Lucia,197.6000061
St. Vincent and the Grenadines,55.59999847
Sudan,2843.699951
Suriname,467.2000122
Swaziland,1042.599976
Sweden,33.5
Switzerland,57.20000076
Syrian Arab Republic,339.2999878
"Taiwan, China",42.79999924
Tajikistan,878.9000244
Tanzania,1021
Thailand,45.90000153
Timor-Leste,733.4000244
Togo,5705.100098
Tonga,95.30000305
Trinidad and Tobago,198.1000061
Tunisia,677.7000122
Turkey,599.5999756
Turkmenistan,..
Uganda,9030.5
Ukraine,795.2999878
United Arab Emirates,23.5
United Kingdom,26.70000076
United States,24.60000038
Upper middle income,..
Uruguay,12.69999981
Uzbekistan,1393.099976
Vanuatu,1170.599976
"Venezuela, RB",1783.300049
Vietnam,1322.599976
Virgin Islands (U.S.),..
West Bank and Gaza,1465.099976
"Yemen, Rep.",3584.100098
