Country,Year2015
Zimbabwe,112
Zambia,33.59999847
Algeria,10.89999962
Angola,22.5
Benin,45.29999924
Botswana,0.699999988
Burkina Faso,43.5
Cameroon,32.70000076
Cape Verde,14.80000019
Central African Republic,204
Chad,150.3999939
Cote d'Ivoire,18.60000038
Djibouti,168.1000061
Afghanistan,19
Albania,10.39999962
American Samoa,..
Andorra,..
Antigua and Barbuda,9.5
Argentina,9.699999809
Armenia,1
Aruba,..
Australia,0.699999988
Austria,0.300000012
Azerbaijan,1.200000048
"Bahamas, The",10.89999962
Bahrain,0.800000012
Bangladesh,13.89999962
Barbados,7.099999905
Belarus,0.899999976
Belgium,4.800000191
Belize,40.70000076
Bermuda,..
Bhutan,4
Bolivia,57.90000153
Bosnia and Herzegovina,14.80000019
Brazil,3.799999952
Brunei Darussalam,1.200000048
Bulgaria,0.699999988
Burundi,13.39999962
Cambodia,78.69999695
Canada,0.400000006
Cayman Islands,..
Channel Islands,..
Chile,0.699999988
China,0.699999988
Colombia,7.5
Comoros,118.1999969
"Congo, Dem. Rep.",29.29999924
"Congo, Rep.",52.29999924
Costa Rica,11.10000038
Croatia,3.299999952
Cuba,..
Cyprus,12.19999981
Czech Republic,6.699999809
Denmark,0.200000003
Dominica,15
Dominican Republic,16.39999962
East Asia & Pacific,23
Ecuador,22
"Egypt, Arab Rep.",8.399999619
El Salvador,42.70000076
Equatorial Guinea,99.40000153
Eritrea,38.09999847
Estonia,1.299999952
Ethiopia,76.09999847
Europe & Central Asia,4.800000191
European Monetary Union,..
Faeroe Islands,..
Fiji,21.29999924
Finland,1
France,0.800000012
French Polynesia,..
Gabon,15.10000038
"Gambia, The",141.6000061
Georgia,3.099999905
Germany,1.799999952
"Germany, Fed. Rep. (former)",..
Ghana,19.39999962
Greece,2.200000048
Greenland,..
Grenada,17.29999924
Guam,..
Guatemala,25
Guinea,79
Guinea-Bissau,43.20000076
Guyana,10.89999962
Haiti,235.3000031
Heavily indebted poor countries (HIPC),..
High income,..
High income: nonOECD,..
High income: OECD,3.200000048
Honduras,38.70000076
"Hong Kong, China",1.200000048
Hungary,7.300000191
IBRD only,..
Iceland,2.200000048
IDA blend,..
IDA only,..
IDA total,..
India,13.5
Indonesia,19.89999962
"Iran, Islamic Rep.",2.700000048
Iraq,39.79999924
Ireland,0.200000003
Isle of Man,..
Israel,3.400000095
Italy,13.80000019
Jamaica,5
Japan,7.5
Jordan,20.70000076
Kazakhstan,0.100000001
Kenya,35.29999924
Kiribati,46
"Korea, Dem. Rep.",..
"Korea, Rep.",14.5
Kosovo,1.100000024
Kuwait,2.299999952
Kyrgyz Republic,2.099999905
Lao PDR,4.900000095
Latin America & Caribbean,31
Latvia,1.5
Least developed countries: UN classification,..
Lebanon,34
Lesotho,9.300000191
Liberia,16.79999924
Libya,26.89999962
Liechtenstein,..
Lithuania,0.600000024
Low & middle income,..
Low income,..
Lower middle income,..
Luxembourg,2
"Macao, China",..
"Macedonia, FYR",0.100000001
Madagascar,43.70000076
Malawi,84.59999847
Malaysia,6.699999809
Maldives,4.900000095
Mali,71.30000305
Malta,10.69999981
Marshall Islands,12.69999981
Mauritania,18.5
Mauritius,2
Mayotte,..
Mexico,17.89999962
"Micronesia, Fed. Sts.",141.1000061
Middle East & North Africa,25.79999924
Middle income,..
Moldova,4.300000191
Monaco,..
Mongolia,1.5
Montenegro,1.399999976
Morocco,9.100000381
Mozambique,15.10000038
Myanmar,97.09999847
Namibia,11.10000038
Nepal,28.39999962
Netherlands,4.599999905
Netherlands Antilles,..
New Caledonia,..
New Zealand,0.300000012
Nicaragua,72.19999695
Niger,67.80000305
Nigeria,31.70000076
Northern Mariana Islands,..
Norway,0.899999976
Oman,3.200000048
Pakistan,9.399999619
Palau,3.299999952
Panama,6.300000191
Papua New Guinea,17.29999924
Paraguay,39.90000153
Peru,9.800000191
Philippines,16.10000038
Poland,12.19999981
Portugal,2.200000048
Puerto Rico,1.299999952
Qatar,5.099999905
Romania,2
Russian Federation,1.100000024
Rwanda,55
Samoa,8
San Marino,9.100000381
Sao Tome and Principe,16.70000076
Saudi Arabia,4.099999905
Senegal,63.70000076
Serbia,6.599999905
Serbia and Montenegro,..
Seychelles,14.19999981
Sierra Leone,44.20000076
Singapore,0.600000024
Slovak Republic,1.5
Slovenia,0
Solomon Islands,31.39999962
Somalia,..
South Africa,0.300000012
South Asia,14
South Sudan,330.1000061
Spain,5.199999809
Sri Lanka,18.70000076
St. Kitts and Nevis,7.900000095
St. Lucia,22.39999962
St. Vincent and the Grenadines,16.5
Sudan,14.80000019
Suriname,100.6999969
Swaziland,23.39999962
Sweden,0.5
Switzerland,2
Syrian Arab Republic,8.5
"Taiwan, China",2.099999905
Tajikistan,21.5
Tanzania,18
Thailand,6.400000095
Timor-Leste,0.300000012
Togo,77.80000305
Tonga,7.800000191
Trinidad and Tobago,0.699999988
Tunisia,3.900000095
Turkey,16.60000038
Turkmenistan,..
Uganda,39.70000076
Ukraine,0.600000024
United Arab Emirates,6.199999809
United Kingdom,0.100000001
United States,1.100000024
Upper middle income,..
Uruguay,22
Uzbekistan,3.400000095
Vanuatu,44.20000076
"Venezuela, RB",88.69999695
Vietnam,4.900000095
Virgin Islands (U.S.),..
West Bank and Gaza,82.5
"Yemen, Rep.",68
